ID,Pop,Family,DateBorn,Sex,Length,Stage,Date,Time,Coder,Chase,Forced_Cop_Attempt,G_Swing,Ignore,Lunge,Nip,Sigmoid,Suc_Forced_Cop,Suc_Sigmoid_Cop,TTSigmoid,TTAvgSigmoid,Copulated
6,QC,401,4/16/2016,M,1.958,Before,7/20/2016,1355,NMP,0,0,1,1,1,0,1,0,0,20.266,20.266,N
9,QC,419,4/16/2016,M,1.723,Before,7/21/2016,1700,NMP,0,0,14,2,0,0,1,0,0,2.658,2.658,N
11,CQ,418,4/16/2016,M,1.607,Before,7/21/2016,1725,NMP,1,4,11,1,0,1,1,0,0,1.685,1.685,N
11,CQ,418,4/16/2016,M,1.607,After,7/22/2016,1635,NMP,3,0,6,1,2,1,1,0,0,0.979,0.979,N
14,QC,419,4/16/2016,M,1.617,Before,7/21/2016,1700,NMP,2,1,2,2,3,0,0,0,0,0,0,N
14,QC,419,4/16/2016,M,1.617,After,7/22/2016,1600,NMP,1,0,4,2,0,0,0,0,0,0,0,N
17,CQ,418,4/16/2016,M,1.727,Before,7/21/2016,1725,NMP,2,0,20,1,2,0,0,0,0,0,0,N
17,CQ,418,4/16/2016,M,1.727,After,7/22/2016,1635,NMP,0,3,9,2,1,0,0,0,0,0,0,N
18,QC,419,4/16/2016,M,1.62,Before,7/21/2016,1725,NMP,0,22,39,0,1,5,7,0,0,17.443,2.491857143,N
18,QC,419,4/16/2016,M,1.62,After,7/22/2016,1635,NMP,1,0,11,1,0,5,0,0,0,0,0,N
19,QC,401,4/18/2016,M,1.649,Before,7/21/2016,1700,NMP,1,3,13,2,1,0,0,0,0,0,0,N
19,QC,401,4/18/2016,M,1.649,After,7/22/2016,1600,NMP,0,4,4,3,1,1,0,0,0,0,0,N
21,CQ,418,4/16/2016,M,1.681,Before,7/21/2016,1725,NMP,1,11,21,0,2,1,0,0,0,0,0,N
21,CQ,418,4/16/2016,M,1.681,After,7/22/2016,1635,NMP,0,1,9,1,1,2,2,0,0,5.556,2.778,N
22,QC,401,4/18/2016,M,1.617,Before,7/21/2016,1740,NMP,0,0,1,1,0,0,0,0,0,0,0,N
24,QC,401,4/16/2016,M,1.915,Before,7/21/2016,1740,NMP,1,5,30,1,2,0,7,0,0,25.83,3.69,N
25,QC,411,3/23/2016,M,1.895,Before,8/30/2016,1240,NMP,0,0,0,0,0,0,0,0,0,0,0,N
25,QC,411,3/23/2016,M,1.895,After,8/31/2016,1805,NMP,0,3,13,1,0,0,9,0,0,34.179,3.797666667,N
27,CQ,430,5/20/2016,M,1.699,Before,8/30/2016,1240,NMP,2,2,9,2,2,1,9,0,0,27.833,3.092555556,N
27,CQ,430,5/20/2016,M,1.699,After,8/31/2016,805,NMP,1,0,20,3,2,0,3,0,0,8.502,2.834,N
28,QC,434,3/26/2016,M,1.826,Before,8/30/2016,1240,NMP,0,0,0,1,0,0,0,0,0,0,0,N
28,QC,434,3/26/2016,M,1.826,After,8/31/2016,805,NMP,0,0,7,0,0,0,0,0,0,0,0,N
29,CQ,418,4/10/2016,M,1.7,Before,8/30/2016,1240,NMP,2,0,3,1,0,0,0,0,0,0,0,N
29,CQ,418,4/10/2016,M,1.7,After,8/31/2016,825,NMP,1,0,10,2,0,0,0,0,0,0,0,N
30,CQ,430,5/20/2016,M,1.634,Before,8/30/2016,1255,NMP,2,8,14,1,1,0,0,0,0,0,0,N
30,CQ,430,5/20/2016,M,1.634,After,8/31/2016,805,NMP,2,2,15,1,2,1,7,0,0,12.974,1.853428571,N
42,CQ,409,5/20/2016,M,1.682,Before,9/2/2016,810,QI,6,0,5,9,0,0,0,0,0,0,0,N
44,CQ,409,5/20/2016,M,1.817,After,9/2/2016,845,QI,8,14,12,7,0,0,4,0,0,8.976,2.244,N
45,QC,434,5/3/2016,M,1.755,After,9/2/2016,810,QI,8,0,1,12,0,0,0,0,0,0,0,N
46,CQ,430,5/20/2016,M,1.634,After,9/2/2016,845,QI,12,5,10,6,0,0,6,0,0,9.404,1.567333333,N
47,QC,434,4/25/2016,M,1.863,After,9/2/2016,810,QI,7,6,8,12,0,0,1,0,0,1.793,1.793,N
51,CM,404,5/12/2016,M,1.886,Before,9/2/2016,1535,QI,0,0,0,3,0,0,0,0,0,0,0,N
51,CM,404,5/12/2016,M,1.886,After,9/3/2016,900,QI,0,0,3,13,0,0,0,0,0,0,0,N
