ID,Pop,Family,DateBorn,Sex,Length,Stage,Date,Coder,Chase,ForcedCop,G_Swing,Sigmoid,Suc_SigCop,Ignore,Lunge,Nip,Suc_ForcCop,Copulated
42,CQ,409,5/20/2016,NA,1.817,Before,9/2/2016,QI,6,0,5,0,0,9,0,0,0,N
44,CQ,409,5/20/2016,NA,1.817,After,9/2/2016,QI,8,14,12,4,0,7,0,0,0,N
45,QC,434,5/3/2016,NA,1.755,After,9/2/2016,QI,8,0,1,0,0,12,0,0,0,N
46,CQ,430,5/20/2016,NA,1.634,After,9/2/2016,QI,12,5,10,6,0,6,0,0,0,N
47,QC,434,4/25/2016,NA,1.863,After,9/2/2016,QI,7,6,8,1,0,12,0,0,0,N
51,CM,404,5/12/2016,NA,1.886,Before,9/2/2016,QI,0,0,0,0,0,3,0,0,0,N
51,CM,404,5/12/2016,NA,1.886,After,9/3/2016,QI,0,0,3,0,0,13,0,0,0,N
52,CQ,416,5/12/2016,NA,1.718,Before,9/2/2016,QI,9,0,2,1,0,10,0,0,0,N
52,CQ,416,5/12/2016,NA,1.718,After,9/3/2016,QI,0,0,0,0,0,3,0,0,0,N
53,CQ,401,5/6/2016,NA,1.73,Before,9/2/2016,QI,15,2,11,4,0,15,0,0,0,N
53,CQ,401,5/6/2016,NA,1.73,After,9/3/2016,QI,5,1,1,0,0,10,0,0,0,N
55,QC,404,5/5/2016,NA,1.922,Before,9/2/2016,QI,15,2,4,2,0,15,0,0,0,N
55,QC,404,5/5/2016,NA,1.922,After,9/3/2016,QI,22,9,15,2,0,17,1,0,0,N
57,CQ,426,6/6/2016,NA,1.817,Before,9/6/2016,QI,15,0,5,0,0,15,0,0,0,N
57,CQ,426,6/6/2016,NA,1.817,After,9/7/2016,QI,12,0,11,2,0,10,0,0,0,N
58,CQ,405,6/6/2016,NA,1.754,After,9/6/2016,QI,18,1,8,1,0,16,0,0,0,N
59,CQ,405,6/6/2016,NA,1.91,After,9/6/2016,QI,5,1,3,3,0,5,0,0,0,N
60,QC,419,6/15/2016,NA,1.574,Before,9/6/2016,QI,5,11,23,1,0,2,0,0,0,N
60,QC,419,6/15/2016,NA,1.574,After,9/7/2016,QI,7,14,21,2,0,5,0,0,0,N
61,CQ,426,6/6/2016,NA,1.491,Before,9/6/2016,QI,0,0,0,0,0,2,0,0,0,N
61,CQ,426,6/6/2016,NA,1.491,After,9/7/2016,QI,6,0,1,1,0,12,0,0,0,N
63,QC,419,6/15/2016,NA,1.611,Before,9/6/2016,QI,1,5,13,0,0,2,0,0,0,N
63,QC,419,6/15/2016,NA,1.611,After,9/7/2016,QI,2,11,20,1,0,2,0,0,0,N
65,QC,434,6/20/2016,NA,1.812,Before,9/7/2016,QI,3,1,15,0,0,2,0,0,0,N
65,QC,434,6/20/2016,NA,1.812,After,9/8/2016,QI,9,0,11,0,0,8,0,0,0,N
66,CM,404,6/10/2016,NA,1.637,Before,9/7/2016,QI,9,0,4,0,0,7,0,0,0,N
66,CM,404,6/10/2016,NA,1.637,After,9/8/2016,QI,9,0,3,0,0,11,0,0,0,N
67,QH,401,4/27/2016,NA,1.947,Before,9/7/2016,QI,7,0,3,3,0,9,0,0,0,N
67,QH,401,4/27/2016,NA,1.947,After,9/8/2016,QI,6,0,6,0,0,7,0,0,0,N
68,QC,434,6/20/2016,NA,1.804,Before,9/7/2016,QI,8,0,1,0,0,8,0,0,0,N
68,QC,434,6/20/2016,NA,1.804,After,9/8/2016,QI,6,4,10,0,0,7,0,0,0,N
69,CM,404,6/10/2016,NA,1.827,Before,9/7/2016,QI,0,0,0,0,0,1,0,0,0,N
69,CM,404,6/10/2016,NA,1.827,After,9/8/2016,QI,0,0,0,0,0,1,0,0,0,N
71,QH,417,5/9/2016,NA,1.839,Before,9/7/2016,QI,3,0,0,0,0,4,0,0,0,N
71,QH,417,5/9/2016,NA,1.839,After,9/8/2016,QI,1,0,0,0,0,1,0,0,0,N
73,CQ,401,6/6/2016,NA,1.58,Before,9/8/2016,QI,0,0,0,0,0,1,0,0,0,N
73,CQ,401,6/6/2016,NA,1.58,After,9/9/2016,QI,0,0,0,0,0,1,0,0,0,N
75,CQ,401,6/6/2016,NA,1.674,Before,9/8/2016,QI,14,3,1,2,0,13,1,0,0,N
75,CQ,401,6/6/2016,NA,1.674,After,9/9/2016,QI,10,1,4,0,0,11,0,0,0,N
76,CQ,435,5/28/2016,M,1.832,Before,9/8/2016,NMP,2,9,14,0,0,6,10,3,0,N
76,CQ,435,5/28/2016,NA,1.832,After,9/9/2016,QI,7,6,20,4,0,6,0,0,0,N
77,QC,404,6/10/2016,M,1.582,Before,9/8/2016,NMP,2,8,8,0,0,3,7,13,0,N
79,CQ,431,6/12/2016,M,1.621,Before,9/8/2016,NMP,2,7,5,0,0,4,2,3,0,N
79,CQ,431,6/12/2016,M,1.621,After,9/9/2016,NMP,1,8,7,1,0,2,2,0,0,N
80,QC,404,6/10/2016,M,1.615,Before,9/8/2016,NMP,2,10,11,0,0,2,9,11,0,N
80,QC,404,6/10/2016,M,1.615,After,9/9/2016,NMP,2,9,11,0,0,4,14,3,0,N
