ID,Pop,Family,DateBorn,Sex,Length,Stage,Date,Coder,Chase,ForcedCop,G_Swing,Sigmoid,Suc_SigCop,Ignore,Lunge,Nip,Suc_ForcCop,Copulated,Aggro,Pass,ChaseAggro,IgnorePass
42,CQ,409,5/20/2016,NA,1.817,Before,9/2/2016,QI,6,0,5,0,0,9,0,0,0,N,0,5,6,14
44,CQ,409,5/20/2016,NA,1.817,After,9/2/2016,QI,8,14,12,4,0,7,0,0,0,N,14,16,22,23
45,QC,434,5/3/2016,NA,1.755,After,9/2/2016,QI,8,0,1,0,0,12,0,0,0,N,0,1,8,13
46,CQ,430,5/20/2016,NA,1.634,After,9/2/2016,QI,12,5,10,6,0,6,0,0,0,N,5,16,17,22
47,QC,434,4/25/2016,NA,1.863,After,9/2/2016,QI,7,6,8,1,0,12,0,0,0,N,6,9,13,21
51,CM,404,5/12/2016,NA,1.886,Before,9/2/2016,QI,0,0,0,0,0,3,0,0,0,N,0,0,0,3
51,CM,404,5/12/2016,NA,1.886,After,9/3/2016,QI,0,0,3,0,0,13,0,0,0,N,0,3,0,16
52,CQ,416,5/12/2016,NA,1.718,Before,9/2/2016,QI,9,0,2,1,0,10,0,0,0,N,0,3,9,13
52,CQ,416,5/12/2016,NA,1.718,After,9/3/2016,QI,0,0,0,0,0,3,0,0,0,N,0,0,0,3
53,CQ,401,5/6/2016,NA,1.73,Before,9/2/2016,QI,15,2,11,4,0,15,0,0,0,N,2,15,17,30
53,CQ,401,5/6/2016,NA,1.73,After,9/3/2016,QI,5,1,1,0,0,10,0,0,0,N,1,1,6,11
55,QC,404,5/5/2016,NA,1.922,Before,9/2/2016,QI,15,2,4,2,0,15,0,0,0,N,2,6,17,21
55,QC,404,5/5/2016,NA,1.922,After,9/3/2016,QI,22,9,15,2,0,17,1,0,0,N,10,17,32,34
57,CQ,426,6/6/2016,NA,1.817,Before,9/6/2016,QI,15,0,5,0,0,15,0,0,0,N,0,5,15,20
57,CQ,426,6/6/2016,NA,1.817,After,9/7/2016,QI,12,0,11,2,0,10,0,0,0,N,0,13,12,23
58,CQ,405,6/6/2016,NA,1.754,After,9/6/2016,QI,18,1,8,1,0,16,0,0,0,N,1,9,19,25
59,CQ,405,6/6/2016,NA,1.91,After,9/6/2016,QI,5,1,3,3,0,5,0,0,0,N,1,6,6,11
60,QC,419,6/15/2016,NA,1.574,Before,9/6/2016,QI,5,11,23,1,0,2,0,0,0,N,11,24,16,26
60,QC,419,6/15/2016,NA,1.574,After,9/7/2016,QI,7,14,21,2,0,5,0,0,0,N,14,23,21,28
61,CQ,426,6/6/2016,NA,1.491,Before,9/6/2016,QI,0,0,0,0,0,2,0,0,0,N,0,0,0,2
61,CQ,426,6/6/2016,NA,1.491,After,9/7/2016,QI,6,0,1,1,0,12,0,0,0,N,0,2,6,14
63,QC,419,6/15/2016,NA,1.611,Before,9/6/2016,QI,1,5,13,0,0,2,0,0,0,N,5,13,6,15
63,QC,419,6/15/2016,NA,1.611,After,9/7/2016,QI,2,11,20,1,0,2,0,0,0,N,11,21,13,23
65,QC,434,6/20/2016,NA,1.812,Before,9/7/2016,QI,3,1,15,0,0,2,0,0,0,N,1,15,4,17
