ID,Pop,Family,DateBorn,Length,Stage,Date,Time,Coder,Chase,ForcedCop,G_Swing,Suc_SigCop,Ignore,Sigmoid,Lunge,Nip,Suc_ForcCop,Copulated
44,CQ,409,5/20/2016,1.817,After, 9-2-16, 8-45, QI,8,14,12,0,7,4,0,0,0,N
45,QC,434,5/3/2016,1.755,After, 9-2-16, 8-10, QI,8,0,1,0,12,0,0,0,0,N
46,CQ,430,5/20/2016,1.634,After, 9-2-16, 8-45, QI,12,5,10,0,6,6,0,0,0,N
47,QC,434,4/25/2016,1.863,After, 9-2-16, 8-10, QI,7,6,8,0,12,1,0,0,0,N
51,CM,404,5/12/2016,1.886,After, 9-3-16,9, QI,0,0,3,0,13,0,0,0,0,N
52,CQ,416,5/12/2016,1.718,After, 9-3-16,9, QI,0,0,0,0,3,0,0,0,0,N
53,CQ,401,5/6/2016,1.73,After, 9-3-16,9, QI,5,1,1,0,10,0,0,0,0,N
55,QC,404,5/5/2016,1.922,After, 9-3-16,9, QI,22,9,15,0,17,2,1,0,0,N
57,CQ,426,6/6/2016,1.817,After, 9-7-16, 8-20, QI,12,0,11,0,10,2,0,0,0,N
58,CQ,405,6/6/2016,1.754,After, 9-6-16, 12-30, QI,18,1,8,0,16,1,0,0,0,N
59,CQ,405,6/6/2016,1.91,After, 9-6-16, 12-30, QI,5,1,3,0,5,3,0,0,0,N
60,QC,419,6/15/2016,1.574,After, 9-7-16, 8-20, QI,7,14,21,0,5,2,0,0,0,N
61,CQ,426,6/6/2016,1.491,After, 9-7-16, 8-20, QI,6,0,1,0,12,1,0,0,0,N
63,QC,419,6/15/2016,1.611,After, 9-7-16, 8-20, QI,2,11,20,0,2,1,0,0,0,N
65,QC,434,6/20/2016,1.812,After, 9-8-16, 8-10, QI,9,0,11,0,8,0,0,0,0,N
66,CM,404,6/10/2016,1.637,After, 9-8-16, 8-20, QI,9,0,3,0,11,0,0,0,0,N
67,QH,401,4/27/2016,1.947,After, 9-8-16, 8-20, QI,6,0,6,0,7,0,0,0,0,N
68,QC,434,6/20/2016,1.804,After, 9-8-16, 8-10, QI,6,4,10,0,7,0,0,0,0,N
69,CM,404,6/10/2016,1.827,After, 9-8-16, 8-10, QI,0,0,0,0,1,0,0,0,0,N
71,QH,417,5/9/2016,1.839,After, 9-8-16, 8-10, QI,1,0,0,0,1,0,0,0,0,N
