ID,Pop,Family,DateBorn,Sex,Length,Stage,Date,Time,Coder,Chase,ForcedCop,G_Swing,Sigmoid,Suc_SigCop,Ignore,Lunge,Nip,Suc_ForcCop,Copulated
6,QC,401,4/16/2016,M,1.958,Before,7/20/2016,1355,NMP,0,0,2,1,0,1,1,0,0,N
9,QC,419,4/16/2016,M,1.723,Before,7/21/2016,1700,NMP,0,0,15,1,0,2,0,0,0,N
11,CQ,418,4/16/2016,M,1.607,After,7/22/2016,1635,NMP,3,0,6,1,0,1,3,1,0,N
11,CQ,418,4/16/2016,M,1.607,Before,7/21/2016,1725,NMP,1,5,14,1,0,1,0,1,0,N
14,QC,419,4/16/2016,M,1.617,After,7/22/2016,1600,NMP,1,0,4,0,0,2,0,1,0,N
14,QC,419,4/16/2016,M,1.617,Before,7/21/2016,1700,NMP,2,1,8,0,0,2,3,1,0,N
17,CQ,418,4/16/2016,M,1.727,After,7/22/2016,1635,NMP,0,3,10,0,0,2,1,0,0,N
17,CQ,418,4/16/2016,M,1.727,Before,7/21/2016,1725,NMP,2,1,22,0,0,2,2,0,0,N
18,QC,419,4/16/2016,M,1.62,After,7/22/2016,1635,NMP,2,0,19,0,0,1,0,5,0,N
18,QC,419,4/16/2016,M,1.62,Before,7/21/2016,1725,NMP,0,22,40,7,0,0,1,5,0,N
19,QC,401,4/18/2016,M,1.649,After,7/22/2016,1600,NMP,1,6,5,1,0,5,1,1,0,N
19,QC,401,4/18/2016,M,1.649,Before,7/21/2016,1700,NMP,1,3,13,0,0,3,1,0,0,N
21,CQ,418,4/16/2016,M,1.681,After,7/22/2016,1635,NMP,1,1,9,2,0,1,1,2,0,N
21,CQ,418,4/16/2016,M,1.681,Before,7/21/2016,1725,NMP,1,12,21,0,0,0,2,1,0,N
22,QC,401,4/18/2016,M,1.617,Before,7/21/2016,1740,NMP,0,0,2,0,0,1,0,0,0,N
24,QC,401,4/16/2016,M,1.915,Before,7/21/2016,1740,NMP,1,6,30,7,0,1,2,0,0,N
25,QC,411,3/23/2016,M,1.895,After,8/31/2016,1805,NMP,1,3,13,9,0,1,0,0,0,N
25,QC,411,3/23/2016,M,1.895,Before,8/30/2016,1240,NMP,0,0,0,0,0,0,0,0,0,N
27,CQ,430,5/20/2016,M,1.699,After,8/31/2016,805,NMP,1,0,25,3,0,3,3,0,0,N
27,CQ,430,5/20/2016,M,1.699,Before,8/30/2016,1240,NMP,2,2,11,9,0,2,2,1,0,N
28,QC,434,3/26/2016,M,1.826,After,8/31/2016,805,NMP,0,0,8,0,0,1,0,0,0,N
28,QC,434,3/26/2016,M,1.826,Before,8/30/2016,1240,NMP,0,0,0,0,0,2,0,0,0,N
